address,Currency,label,addr_length,prefix_1,prefix_2,prefix_3,has_upper,has_lower,has_digit,digit_ratio,letter_ratio,non_alnum_ratio,base58_ratio,hex_ratio,charset_entropy,char_count_A_to_F,char_count_a_to_f,char_count_rest,max_repeated_char
18M8bJWMzWHDBMxoLqjHHAffdRy4SrzkfB,Bitcoin Cash,0,34,1,18,18M,1,1,1,0.117647059,0.882352941,0,1,0.382352941,4.432619826,4,5,21,2
qpf2cphc5dkuclkqur7lhj2yuqq9pk3hmukle77vhq,Bitcoin Cash,0,42,q,qp,qpf,0,1,1,0.19047619,0.80952381,0,0.928571429,0.333333333,4.044003364,0,6,28,2
qpusmp64rajses77x95g9ah825mtyyv74smwwkxhx3,Bitcoin Cash,0,42,q,qp,qpu,0,1,1,0.30952381,0.69047619,0,1,0.380952381,4.48125403,0,3,26,2
qq3vlashthktqpeppuv7trmw070e3mydgq63zq348v,Bitcoin Cash,0,42,q,qq,qq3,0,1,1,0.261904762,0.738095238,0,0.928571429,0.357142857,4.347691161,0,4,27,2
qqyuc9s700plhzr6awzru7g5z2d2p906uyrm6ht0r0,Bitcoin Cash,0,42,q,qq,qqy,0,1,1,0.357142857,0.642857143,0,0.857142857,0.428571429,4.252453066,0,3,24,2
qz9f2vz3033sg5vc5mf7m7xshmj0jugy4ummf05jk8,Bitcoin Cash,0,42,q,qz,qz9,0,1,1,0.357142857,0.642857143,0,0.928571429,0.452380952,4.26412509,0,4,23,2
qzjv8hrdvz6edu4gkzpnd4w6jc7zf296g5e9kkq4lx,Bitcoin Cash,0,42,q,qz,qzj,0,1,1,0.285714286,0.714285714,0,0.976190476,0.452380952,4.463280518,0,7,23,2
XnPFsRWTaSgiVauosEwQ6dEitGYXgwznz2,Dash,1,34,X,Xn,XnP,1,1,1,0.058823529,0.941176471,0,1,0.235294118,4.558051077,3,3,26,0
Xs3vzQmNvAxRa3Xo8XzQqUb3BMgb9EogF4,Dash,1,34,X,Xs,Xs3,1,1,1,0.176470588,0.823529412,0,1,0.382352941,4.4548224,4,3,21,0
XyARKoupuArYtToA2S6yMdnoquDCDaBsaT,Dash,1,34,X,Xy,XyA,1,1,1,0.058823529,0.941176471,0,1,0.352941176,4.432619826,7,3,22,0
0x04DBA1194ee10112fE6C3207C0687DEf0e78baCf,Ethereum,2,42,0,0x,0x0,1,1,1,0.571428571,0.428571429,0,0.857142857,0.976190476,4.00805634,9,8,1,2
0x08723392Ed15743cc38513C4925f5e6be5c17243,Ethereum,2,42,0,0x,0x0,1,1,1,0.738095238,0.261904762,0,0.952380952,0.976190476,3.912818245,2,8,1,2
